YEAR, ERF (Wm-2),
1850.00, 0.334943,
1851.00, 0.358177,
1852.00, -0.0947770,
1853.00, 0.259639,
1854.00, 0.288527,
1855.00, 0.277809,
1856.00, 0.284620,
1857.00, 0.398004,
1858.00, -0.00585929,
1859.00, 0.0467406,
1860.00, 0.291376,
1861.00, -0.108339,
1862.00, -0.451400,
1863.00, -0.209118,
1864.00, 0.0861375,
1865.00, 0.477768,
1866.00, 0.421958,
1867.00, 0.214615,
1868.00, 0.295925,
1869.00, 0.178939,
1870.00, 0.414459,
1871.00, 0.213335,
1872.00, 0.151792,
1873.00, 0.126457,
1874.00, 0.377363,
1875.00, 0.277264,
1876.00, 0.0961827,
1877.00, 0.228749,
1878.00, 0.0921359,
1879.00, 0.270431,
1880.00, 0.227498,
1881.00, 0.253393,
1882.00, 0.225691,
1883.00, -0.675290,
1884.00, -2.17331,
1885.00, -0.641245,
1886.00, -0.0813268,
1887.00, 0.0364597,
1888.00, 0.348325,
1889.00, -0.0265382,
1890.00, 0.358095,
1891.00, -0.160306,
1892.00, 0.320910,
1893.00, 0.462776,
1894.00, 0.473044,
1895.00, 0.0720449,
1896.00, 0.179429,
1897.00, 0.341424,
1898.00, 0.106808,
1899.00, 0.179491,
1900.00, 0.115427,
1901.00, 0.0631953,
1902.00, -0.276276,
1903.00, -0.874909,
1904.00, -0.0500135,
1905.00, -0.0521366,
1906.00, 0.171451,
1907.00, 0.00223212,
1908.00, 0.116551,
1909.00, 0.443170,
1910.00, 0.352595,
1911.00, 0.113679,
1912.00, -0.334962,
1913.00, 0.00507945,
1914.00, -0.0313677,
1915.00, 0.229470,
1916.00, 0.308454,
1917.00, 0.277873,
1918.00, 0.335320,
1919.00, 0.252902,
1920.00, 0.205629,
1921.00, -0.0710713,
1922.00, 0.347564,
1923.00, 0.110514,
1924.00, 0.235674,
1925.00, 0.225228,
1926.00, 0.199134,
1927.00, 0.279565,
1928.00, 0.237997,
1929.00, 0.0903455,
1930.00, 0.0188460,
1931.00, 0.403548,
1932.00, 0.175509,
1933.00, -0.0763689,
1934.00, 0.129030,
1935.00, 0.271034,
1936.00, 0.432060,
1937.00, 0.532294,
1938.00, -0.0684082,
1939.00, 0.151691,
1940.00, 0.172010,
1941.00, 0.135985,
1942.00, 0.391336,
1943.00, 0.347909,
1944.00, 0.235652,
1945.00, 0.219488,
1946.00, 0.264792,
1947.00, 0.249794,
1948.00, 0.137978,
1949.00, 0.558557,
1950.00, 0.162913,
1951.00, 0.431483,
1952.00, -0.00439935,
1953.00, 0.349786,
1954.00, 0.311517,
1955.00, 0.394517,
1956.00, 0.288749,
1957.00, 0.492225,
1958.00, 0.426091,
1959.00, 0.511120,
1960.00, 0.451844,
1961.00, 0.495676,
1962.00, 0.0725545,
1963.00, -0.947282,
1964.00, -0.640055,
1965.00, -0.0724150,
1966.00, 0.233848,
1967.00, 0.126930,
1968.00, 0.0707904,
1969.00, 0.175601,
1970.00, 0.175457,
1971.00, -0.0856264,
1972.00, -0.157577,
1973.00, 0.329585,
1974.00, -0.0169845,
1975.00, -0.118630,
1976.00, 0.159500,
1977.00, 0.245217,
1978.00, 0.367679,
1979.00, 0.499387,
1980.00, 0.0237390,
1981.00, 0.299976,
1982.00, -0.0707005,
1983.00, -0.849421,
1984.00, -0.326931,
1985.00, -0.124237,
1986.00, -0.0430608,
1987.00, 0.205122,
1988.00, 0.305172,
1989.00, 0.236080,
1990.00, 0.0903004,
1991.00, -0.694605,
1992.00, -1.39305,
1993.00, -0.554934,
1994.00, 0.152736,
1995.00, 0.104326,
1996.00, 0.0973567,
1997.00, 0.00209894,
1998.00, 0.254086,
1999.00, 0.245944,
2000.00, 0.233360,
2001.00, 0.274090,
2002.00, 0.321950,
2003.00, 0.392861,
2004.00, 0.0333260,
2005.00, 0.107117,
2006.00, 0.125210,
2007.00, 0.126222,
2008.00, -0.0935770,
2009.00, 0.132926,
2010.00, 0.226119,
2011.00, 0.141637,
2012.00, 0.300805,
2013.00, 0.290155,
2014.00, 0.363739,
